name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White_population,Black_population,American_Indian_population,Asian_population,Hispanic_or_Latino_population,High_school_or_higher,Graduate_or_professional_degree,Unemployed,average_price,review_count_binned
Master Pizza,40.704792,-74.2953678,7083,Union,NJ,$,3,67,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.448958126,0.23710125,0.000725413,0.105910303,0.148999837,0.887,0.104,0.062,10,Small No Reviews
Moroccan Kebab & Falafel,40.71146,-74.31165,7081,Springfield Township,NJ,$$,4,135,falafel&moroccan&mideastern,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.678355915,0.055106456,0.000455425,0.068029147,0.085506091,0.959,0.255,0.038,20,Small No Reviews
Cheeseburger in Paradise,40.787391,-74.046081,7094,Secaucus,NJ,$$,3,280,burgers&tradamerican&bars,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Medium No Reviews
Buffalo Wild Wings,40.79040607,-74.04490582,7094,Secaucus,NJ,$$,2.5,341,sportsbars&tradamerican&chicken_wings,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Meadium to Large Reviews
Red Lobster,40.786474,-74.046047,7094,Secaucus,NJ,$$,3,145,seafood&tradamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Small No Reviews
Houlihan's,40.78591632,-74.04588944,7094,Secaucus,NJ,$$,3,234,bars&newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Medium No Reviews
Chili's,40.786708,-74.045563,7094,Secaucus,NJ,$$,2,155,tradamerican&bars&tex-mex,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Medium No Reviews
Pizza Oven Mamma Mia Restaurant,40.81250633,-74.3889036,7936,East Hanover,NJ,$$,4.5,79,pizza&italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.793645221,0.007899587,0.000351093,0.116036163,0.052663916,0.922,0.158,0.059,20,Small No Reviews
Outback Steakhouse,40.78916,-74.04465,7094,Secaucus,NJ,$$,2.5,199,steak,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Medium No Reviews
Carrabba's Italian Grill,40.7893564,-74.04409327,7094,Secaucus,NJ,$$,3,174,italian&seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Medium No Reviews
Saison,40.6927142,-74.1863173,7132,Newark,NJ,$$$,2.5,147,french,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,1,19,18,10,7,10,0.479330335,0.037569691,0.001647238,0.094145971,0.123859605,0.941,0.224,0.048,45,Small No Reviews
Mazza Falafel,40.88343,-74.059,7601,Hackensack,NJ,$$,4.5,160,falafel&halal,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.286041954,0.215850889,0.001492006,0.097358928,0.338173073,0.882,0.116,0.038,20,Medium No Reviews
Segovia Steakhouse & Seafood,40.85194,-74.04195,7643,Little Ferry,NJ,$$,4,253,steak&seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,15,3,4,5,9,4,1,3,0.455048535,0.033203302,0.001995827,0.231334482,0.221536787,0.889,0.091,0.057,20,Medium No Reviews
The Cake Lounge,40.85636,-74.0425099,7643,Little Ferry,NJ,$$$,4,98,italian&cocktailbars,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,9,2,5,2,9,4,1,10,0.455048535,0.033203302,0.001995827,0.231334482,0.221536787,0.889,0.091,0.057,45,Small No Reviews
I Gemelli Ristorante,40.87057,-74.04861,7606,South Hackensack,NJ,$$,4.5,150,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.476542298,0.035833025,0.001477651,0.043590691,0.28333949,0.824,0.049,0.046,20,Small No Reviews
Bella Fig,40.94596,-74.1476,7506,Hawthorne,NJ,$$,4.5,64,italian&modern_european,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.769574944,0.018469382,0.000884449,0.027261849,0.150720566,0.922,0.122,0.051,20,Small No Reviews
LongHorn Steakhouse,40.902941,-74.0717231,7662,Rochelle Park,NJ,$$,3.5,172,steak&tradamerican&bbq,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.685684284,0.025726286,0.001050053,0.084179209,0.15820791,0.901,0.104,0.042,20,Medium No Reviews
Puleo's Brick Oven,40.78875,-74.3901,7932,Florham Park,NJ,$$,4,51,pizza&catering&seafood,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.816916488,0.023067938,0.000486665,0.066283823,0.038543897,0.983,0.302,0.036,20,Small No Reviews
The Cheesecake Factory,40.74090648,-74.36322866,7078,Short Hills,NJ,$$,2.5,273,desserts&newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.813190208,0.009962159,0,0.156073828,0.024635107,1.018,0.575,0.025,20,Medium No Reviews
15 Fox Place,40.73371,-74.07251,7306,Jersey City,NJ,$$$$,4.5,95,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,12,6,12,7,9,1,2,9,0.220391202,0.117790356,0.002507702,0.303037902,0.263040052,0.866,0.155,0.06,60,Small No Reviews
Outback Steakhouse,40.90526659,-74.07132426,7662,Rochelle Park,NJ,$$,3,109,steak,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.685684284,0.025726286,0.001050053,0.084179209,0.15820791,0.901,0.104,0.042,20,Small No Reviews
California Pizza Kitchen at Short Hills Mall,40.740227,-74.363723,7078,Short Hills,NJ,$$,3,104,pizza&newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.813190208,0.009962159,0,0.156073828,0.024635107,1.018,0.575,0.025,20,Small No Reviews
Rio Rodizio Churrascaria,40.692104,-74.286819,7083,Union,NJ,$$$,2.5,279,brazilian&desserts&steak,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.448958126,0.23710125,0.000725413,0.105910303,0.148999837,0.887,0.104,0.062,45,Medium No Reviews
Anthony's Coal Fired Pizza,40.94362,-74.129821,7410,Fair Lawn,NJ,$$,3.5,122,italian&pizza&chicken_wings,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.746741486,0.013776313,0.000415665,0.092930732,0.097859327,0.948,0.225,0.041,20,Small No Reviews
La Mexicana,40.71041378,-74.09967621,7305,Jersey City,NJ,$$,2.5,49,mexican&lounges,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,6,1,12,4,6,10,7,5,0.110780254,0.445742025,0.002776098,0.140588409,0.196761736,0.84,0.089,0.097,20,Small No Reviews
Viaggio Ristorante,40.95916958,-74.23714862,7470,Wayne,NJ,$$$,4.5,165,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.789351022,0.020150592,0.000609537,0.07961635,0.077716027,0.942,0.193,0.048,45,Medium No Reviews
Kabab Paradise,40.88094,-74.3819,7034,Lake Hiawatha,NJ,$$,4.5,525,afghani&halal&kebab,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.569556761,0.027945542,0.001535469,0.223052513,0.101443341,0.931,0.17,0.077,20,Meadium to Large Reviews
Coach House,40.7603093,-74.044308,7047,North Bergen,NJ,$$,3.5,429,tradamerican&bars,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.209919769,0.016721358,0.00097345,0.060212589,0.652666782,0.821,0.082,0.088,20,Meadium to Large Reviews
Rails Steakhouse,40.92251,-74.34369,7082,Towaco,NJ,$$$,4,505,steak&bars&tradamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.904378356,0.010532838,0,0.133828996,0.051425031,0.993,0.292,0.063,45,Meadium to Large Reviews
Mario's Tutto Bâˆ_Â®ne,40.683909,-74.268756,7083,Union,NJ,$$,4,107,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.448958126,0.23710125,0.000725413,0.105910303,0.148999837,0.887,0.104,0.062,20,Small No Reviews
Curry On,40.73519135,-74.0635376,7306,Jersey City,NJ,$$,3,100,indpak&seafood&chinese,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.220391202,0.117790356,0.002507702,0.303037902,0.263040052,0.866,0.155,0.06,20,Small No Reviews
Pollos Mario,40.88014221,-74.04427338,7601,Hackensack,NJ,$$,3.5,138,spanish&steak&colombian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.286041954,0.215850889,0.001492006,0.097358928,0.338173073,0.882,0.116,0.038,20,Small No Reviews
Twin Door Tavern,40.9057253,-74.0646445,7607,Maywood,NJ,$$,3.5,80,tradamerican&sportsbars&pubs,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.616421693,0.046629498,0.000506842,0.10562595,0.180942727,0.948,0.152,0.053,20,Small No Reviews
Churrasco Grill,40.88462448,-74.38179779,7034,Lake Hiawatha,NJ,$$,4,87,newamerican&peruvian&argentine,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.569556761,0.027945542,0.001535469,0.223052513,0.101443341,0.931,0.17,0.077,20,Small No Reviews
Mei Hibachi Steak House,40.8636399,-74.03507,7601,Hackensack,NJ,$$,3,147,japanese&sushi&steak,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,8,2,12,3,5,1,7,2,0.286041954,0.215850889,0.001492006,0.097358928,0.338173073,0.882,0.116,0.038,20,Small No Reviews
900 Degrees,40.92307829,-74.34425678,7082,Towaco,NJ,$$,3.5,120,pizza&italian&salad,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.904378356,0.010532838,0,0.133828996,0.051425031,0.993,0.292,0.063,20,Small No Reviews
